Компани	Ажлын зар	Салбар	Түвшин	Төрөл	Цалин	Байршил	Он сар	Тохиролцоно
Занаду Вайнес	Sales manager	Худалдаа, Борлуулалт	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 23. 12:21	False
Гүнд инвестмент холдинг групп	Хүний нөөцийн менежер	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянгол дүүрэг	3 сарын 23. 12:19	False
ТОП АВТО СЕРВИС	Борлуулалтын менежер	Автомашины засвар үйлчилгээ	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 23. 12:18	False
Тээвэр хөгжлийн банк	Бизнес шинжээч /Карт/	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот	3 сарын 23. 12:18	False
Эпирок Монголиа ХХК	Сэлбэгийн зохицуулагч (УБ)	Уул уурхай	Мэргэжилтэн	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 23. 12:17	False
Интерном ХХК	Гадаад харилцааны менежер	Үйлчилгээ	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 23. 12:15	False
Дисковер Монголия Трэйвэл	Зах зээл хариуцсан менежер /Англи эсвэл Солонгос/	Аялал жуулчлал, зочид буудал	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 23. 12:12	False
Тэнгэр ХХК	Тэнгэр бөөний төвд Худалдааны зөвлөх	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 12:11	False
Мон Бийф ХХК	НЯРАВ /Эмээлтэд байрлалтай үйлдвэрт ажиллана/	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 23. 12:09	False
РЕ/МАКС Плас	ҮЛ ХӨДЛӨХ ХӨРӨНГӨ ЗУУЧЛАГЧ СУРГАЖ АВНА	Барилга, Үл хөдлөх хөрөнгө	Мэргэжил хамаарахгүй	Бүтэн цагийн	4,000,000 - 5,000,000	Улаанбаатар хот	3 сарын 23. 12:09	False
Мах Импэкс ХК ХКҮ ХХК	ЭДИЙН ЗАСАГЧ АЖИЛД АВНА.	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 23. 12:09	False
Шунхлай Холдинг ХХК	Төслийн админ /Барилгын төсөл/	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 12:08	False
Ривер Групп	Фитнес клубд  Бариста ажилд авна	Ресторан, Хоол үйлдвэрлэл	Мэргэжилтэн	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 12:07	False
Ривер Групп	Үйлчилгээний зөвлөх- / Фитнесс/	Үйлчилгээ	Мэргэжилтэн	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 12:07	False
Ривер Групп	Бармен	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 12:07	False
Ривер Групп	ДЭЭД ЗЭРГЭЛЭЛИЙН РЕСТОРАНД КАСС АЖИЛД АВНА	Ресторан, Хоол үйлдвэрлэл	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 12:06	False
БльюМон Групп	"""VANS"" Худалдааны зөвлөх"	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 23. 12:05	False
БльюМон Групп	"""CONVERSE"" Худалдааны зөвлөх"	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 23. 12:05	False
Цемент Шохой ТӨХК	Тогтоол шийдвэрийн биелэлт хариуцсан мэргэжилтэн	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Сэлэнгэ аймаг	3 сарын 23. 12:04	False
Эрдэнэт хивс ХХК	ТООЦООНЫ НЯГТЛАН БОДОГЧ/ШИНЭ ТӨГСӨГЧ БАЙЖБОЛНО/-УБ	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 23. 12:03	False
АCАП Пропертиз	Үл хөдлөх хөрөнгийн агент	Барилга, Үл хөдлөх хөрөнгө	Мэргэжилтэн	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот	3 сарын 23. 12:00	False
ТОП АВТО СЕРВИС	Сэлбэгийн нярав	Автомашины засвар үйлчилгээ	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 23. 12:00	False
Си Эй Би Проперти	Архитектор /Мэргэшсэн зэрэгтэй/	Барилга, Үл хөдлөх хөрөнгө	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 11:58	False
Таван Богд Групп	Ерөнхий нягтлан бодогч	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 11:58	False
Эпирок Монголиа ХХК	Workshop Quality Control Specialist	Уул уурхай	Мэргэжилтэн	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 23. 11:58	False
Монос Косметик	Брэнд менежер	Маркетинг, PR, Менежмент	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Чингэлтэй дүүрэг	3 сарын 23. 11:58	False
Таван Богд Групп	ХАБЭА хариуцсан менежер	Ресторан, Хоол үйлдвэрлэл	Мэргэжилтэн	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 23. 11:58	False
Амар зочид буудал	Хоол үйлдвэрлэл, үйлчилгээний албаны дарга	Ресторан, Хоол үйлдвэрлэл	Дээд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:58	False
Амар зочид буудал	ЗОХИОН БАЙГУУЛАГЧ /РЕСТОРАН, КАРАОКЕ/	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:57	False
Монос Косметик	Чанарын албаны дарга	Үйлдвэрлэл, Дэд бүтэц	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 23. 11:57	False
Амар зочид буудал	АХЛАХ ТОГООЧ /Паб, ресторан/	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:57	False
Амар зочид буудал	ЗОХИОН БАЙГУУЛАГЧ /РЕСТОРАН, КАРАОКЕ/	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Ээлжийн	1,200,000 - 1,500,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:57	False
Монос Косметик	Чанарын албаны дарга	Үйлдвэрлэл, Дэд бүтэц	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 23. 11:57	False
Амар зочид буудал	АХЛАХ ТОГООЧ /Паб, ресторан/	Ресторан, Хоол үйлдвэрлэл	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:57	False
Баттрейд Си ХХК	Хүний нөөцийн менежер	Захиргаа, Хүний нөөц	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 23. 11:56	False
Эпирок Монголиа ХХК	ИНЖЕНЕР ЗАСВАРЧИН 14/14 (УБ ИХ ЗАСВАРЫН ТӨВ)	Уул уурхай	Мэргэжилтэн	Ээлжийн	2,100,000 - 2,500,000	Улаанбаатар хот, Сонгинохайрхан дүүрэг	3 сарын 23. 11:56	False
Номин Холдинг ХХК	Эрсдэлийн менежер /Номин Даатгал/	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот	3 сарын 23. 11:56	False
Баттрейд Си ХХК	Маркетингийн менежер	Маркетинг, PR, Менежмент	Дунд шатны удирдлага	Бүтэн цагийн	1,200,000 - 1,500,000	Улаанбаатар хот	3 сарын 23. 11:56	False
Баттрейд Си ХХК	Жолооч	Ажилчид, туслах ажилтан	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот	3 сарын 23. 11:56	False
Баттрейд Си ХХК	Борлуулагч, түгээгч	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот	3 сарын 23. 11:56	False
Амар зочид буудал	ӨРӨӨ ҮЙЛЧИЛГЭЭНИЙ АЖИЛТАН	Аялал жуулчлал, зочид буудал	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,000,000 - 1,200,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:56	False
Шунхлай Холдинг ХХК	Барилгын инженер /Хяналтын инженер/	Барилга, Үл хөдлөх хөрөнгө	Дунд шатны удирдлага	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 11:55	False
Артизан ХХК	СОЛОНГОС ХЭЛНИЙ ОРЧУУЛАГЧ	Захиргаа, Хүний нөөц	Мэргэжилтэн	Цагийн	320,000 - 400,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 11:55	False
Арцатвүүд ХХК	Мужаан ажилд авна.	Үйлдвэрлэл, Дэд бүтэц	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 11:54	False
Бест бейкери ХХК	Борлуулалтын менежер ажилд авна /эрэгтэй, эмэгтэй/	Худалдаа, Борлуулалт	Мэргэжил хамаарахгүй	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 23. 11:54	False
Ази Фарма ХХК	"""СУДЛААЧ МЭРГЭЖИЛТЭН"" /эмч мэргэжилтэй/"	Эмнэлэг, Эм хангамж	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот	3 сарын 23. 11:53	False
Амар зочид буудал	ЗОЧИД БУУДАЛД ХААЛГАЧ	Аялал жуулчлал, зочид буудал	Мэргэжил хамаарахгүй	Ээлжийн	800,000 - 1,000,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:53	False
Платинум Ланд ХХК	Техникч /Засварчин/	Уул уурхай	Мэргэжилтэн	Бүтэн цагийн	1,200,000 - 1,500,000	Өмнөговь аймаг	3 сарын 23. 11:53	False
Таван Богд Групп	Санхүүгийн шинжээч	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	2,100,000 - 2,500,000	Улаанбаатар хот, Сүхбаатар дүүрэг	3 сарын 23. 11:53	False
Таван Богд Групп	Үйлдвэрийн дарга /УБ Принт ХХК/	Худалдаа, Борлуулалт	Дээд шатны удирдлага	Бүтэн цагийн	3,000,000 - 4,000,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 11:52	False
Таван Богд Групп	Ахлах нягтлан бодогч /Таван Богд Финанс ХХК/	Банк, санхүү, нягтлан бодох бүртгэл	Дунд шатны удирдлага	Бүтэн цагийн	2,500,000 - 3,000,000	Улаанбаатар хот, Хан-Уул дүүрэг	3 сарын 23. 11:52	False
Алтан Жолоо Трейд ХХК	Нярав /СХД/	Банк, санхүү, нягтлан бодох бүртгэл	Мэргэжилтэн	Бүтэн цагийн	1,500,000 - 1,800,000	Улаанбаатар хот, Баянзүрх дүүрэг	3 сарын 23. 11:52	False
Хан Алтай Ресурс ХХК	Баяжуулах үйлдвэрийн механик засварчин	Үйлдвэрлэл, Дэд бүтэц	Мэргэжил хамаарахгүй	Бүтэн цагийн	2,100,000 - 2,500,000	Говь-Алтай аймаг	3 сарын 23. 11:52	False
Сүит Мэлоди ХХК	Маркетингийн менежер	Худалдаа, Борлуулалт	Дунд шатны удирдлага	Бүтэн цагийн	1,800,000 - 2,100,000	Улаанбаатар хот	3 сарын 23. 11:52	False
Хан Алтай Ресурс ХХК	Тоног төхөөрөмжийн засварчин	Уул уурхай	Мэргэжил хамаарахгүй	Ээлжийн	1,800,000 - 2,100,000	Говь-Алтай аймаг	3 сарын 23. 11:51	False
ХИТ ХХК	Засварын клерк /Хөдөө ажиллах/	Уул уурхай	Мэргэжил хамаарахгүй	Ээлжийн	1,200,000 - 1,500,000	Дорнод аймаг	3 сарын 23. 11:51	False
